"id","vote_code","name","active","created_by","created_timestamp","updated_by","updated_timestamp","district_id"
"3693a06c-59fd-47f6-84cf-4e2978f28cd6","512","KABALE DISTRICT",True,"admin","2022-08-11 04:23:43.598373+03","admin","2022-08-11 04:23:43.598373+03","e98d4ab2-b2f5-4289-95fe-baa84b53e80d"
"38f4879f-61f3-4e2a-8acf-40afd8e18fed","753","FORT PORTAL CITY",True,"admin","2022-08-11 05:09:18.558084+03","admin","2022-08-11 05:09:18.558084+03","a74f5ed3-80d8-4f3c-ba47-797dfcdac7eb"
"3c2fffeb-09de-4a07-9982-00d5c47ab4f0","535","MAYUGE DISTRICT",True,"admin","2022-08-11 03:59:41.087084+03","admin","2022-08-11 03:59:41.087084+03","f509c935-1651-4fac-83c0-bf082b4ec20c"
"3d062302-528f-404b-913f-3353650d4ea0","528","KOTIDO DISTRICT",True,"admin","2022-08-11 04:10:55.537989+03","admin","2022-08-11 04:10:55.537989+03","7911333b-facb-415c-b363-1e660c915047"
"3e729668-45b2-4cd3-8bd2-6e3e32612be8","612","KWEEN DISTRICT",True,"admin","2022-08-11 04:04:05.932638+03","admin","2022-08-11 04:04:05.932638+03","eac8802d-5e68-4e6b-a7b4-9a37e142d126"
"430b08fd-3bdf-48d3-a173-927ac8790175","591","GOMBA DISTRICT",True,"admin","2022-08-10 11:58:40.037255+03","admin","2022-08-10 11:58:40.037255+03","501a8a99-8e16-4ff9-991e-86166ac1292e"
"43160ed9-5b1c-4a56-abef-b84b3f057c04","506","BUSHENYI DISTRICT",True,"admin","2022-08-10 11:12:42.424078+03","admin","2022-08-10 11:12:42.424078+03","a1537de4-9b3d-43c1-a296-6dcbc6b8ba4b"
"43c003b5-67a8-41d5-b1c3-1332ca15e9fe","580","LYANTONDE DISTRICT",True,"admin","2022-08-10 12:09:24.642906+03","admin","2022-08-10 12:09:24.642906+03","b0c766f7-b445-4d6b-895b-23d161ab496b"
"43cc11bf-43e8-4de1-a9f4-27b97cea2000","532","LUWEERO DISTRICT",True,"admin","2022-08-10 12:05:30.971984+03","admin","2022-08-10 12:05:30.971984+03","59eab4c9-9741-4724-a407-da137540cb7a"
"47099eb9-c94a-4d8f-898d-9db76a8fdee3","762","MOROTO MUNICIPAL COUNCIL",True,"admin","2022-08-11 04:12:45.944053+03","admin","2022-08-11 04:12:45.944053+03","d810d0c7-ee33-462e-a0b5-a31ae3959d01"
"47745a71-3c7a-49a9-bfed-4b3dbca920e8","757","KABALE MUNICIPAL COUNCIL",True,"admin","2022-08-11 04:23:16.127+03","admin","2022-08-11 04:23:16.127+03","e98d4ab2-b2f5-4289-95fe-baa84b53e80d"
